WELL_NAME,REL_NAME,UBHI,STRING_NAME,FIELD,PRODUCTION_DATE,LAYER_NAME,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,CONDENSATE_VOLUME,OIL_MASS,GAS_MASS,WATER_MASS,CONDENSATE_MASS,FLOWING_HOURS
N-83,DX,N-83,Single_String,BAN,31-Oct-24,NEYXAND,0,3159751,70.11,2.32,0,3.15,70.11,1.88,744
N-80,DS,N-80,Single_String,BAN,31-Oct-24,KPYXP-8,0,0,0,0,0,0,0,0,0
N-79,DV,N-79,Single_String,BAN,31-Oct-24,NEYXAND,0,0,0,0,0,0,0,0,0
N-78,DU,N-78,Single_String,BAN,31-Oct-24,KPYX-10,0,0,0,0,0,0,0,0,0
N-76,DW,N-76,Single_String,BAN,31-Oct-24,KPYX-66,0,352842,37.73,3.25,0,0.35,37.73,2.63,744
N-75,BE,N-75,Single_String,BAN,31-Oct-24,KPYX-82,0,2813627,54.38,4.65,0,2.81,54.38,3.77,744
N-71,DP,N-71,Single_String,BAN,31-Oct-24,KPYX-59,0,281542,30.52,2.07,0,0.28,30.52,1.68,744
N-68,BF,N-68,Single_String,BAN,31-Oct-24,KPYX65B,0,599078,49.1,2.89,0,0.59,49.1,2.34,744
O-67,DR,N-67,Single_String,BAN,31-Oct-24,KPYX-30,0,1996774,23.06,2.81,0,1.99,23.06,2.28,726
N-66,DQ,N-66,Single_String,BAN,31-Oct-24,KPYX65A,0,2374764,45.3,3.88,0,2.37,45.3,3.14,744
N-63,DO,N-63,Single_String,BAN,31-Oct-24,KPYX-42,0,334648,47.06,1.55,0,0.33,47.06,1.25,744
N-62,BD,N-62,Single_String,BAN,31-Oct-24,KPYX-54,0,1127666,44.06,5.4,0,1.12,44.06,4.38,739
N-61,GT,N-61,Single_String,BAN,31-Oct-24,KPYX65B,0,0,0,0,0,0,0,0,0
N-60,GT,N-60,Single_String,BAN,31-Oct-24,KPYX-66,0,285403,27.17,2.32,0,0.28,27.17,1.88,744
N-58,DJ,N-58,Short_String,BAN,31-Oct-24,KPYXP-8,0,0,0,0,0,0,0,0,0
N-58,DJ,N-58,Long_String,BAN,31-Oct-24,KPYXP-8,0,0,0,0,0,0,0,0,0
N-57,DL,N-57,Single_String,BAN,31-Oct-24,KPYX55B,0,1040039,25.25,2.95,0,1.04,25.25,2.39,744
N-56,DH,N-56,Single_String,BAN,31-Oct-24,KPYX-70,0,590395,150.42,7.57,0,0.59,150.42,6.14,728.5
N-47,AW,N-47,Single_String,BAN,31-Oct-24,KPYX60A,0,118226,18.88,0.31,0,0.11,18.88,0.25,744
-106,EL,-106,Single_String,BAN,31-Oct-24,KPYX-83,0,921998,30.94,1.38,0,0.92,30.94,1.12,744
#102,EM,-102,Single_String,BAN,31-Oct-24,KPYX-83,0,1692208,25.91,2.51,0,1.69,25.91,2.03,744
-101,BQ,-101,Single_String,BAN,31-Oct-24,KPYX-18,0,385100,15.43,0.77,0,0.38,15.43,0.62,744
LA-4,SC,LA-4,Single_String,LIA,31-Oct-24,GSYXIIA,0,62036,0,0,0,0.06,0,0,744
LA-2,SB,LA-2,Single_String,LIA,31-Oct-24,GSYX-II,0,544844,161.57,0,0,0.54,161.57,0,744
A-21,DD,A-21,Single_String,LIA,31-Oct-24,GSYXI-I,0,1674416,2.93,0,0,1.67,2.93,0,744
A-13,AB,A-13,Single_String,LIA,31-Oct-24,GSYXIIA,0,72108,29.37,0,0,0.07,29.37,0,744
A-12,SF,A-12,Single_String,LIA,31-Oct-24,GSYXI-I,0,1138724,2056.12,0,0,1.13,2056.12,0,744
MR-7,DD,MR-7,Single_String,URA,31-Oct-24,B-YXI-I,0,0,0,0,0,0,0,0,0
MR-6,DB,MR-6,Single_String,URA,31-Oct-24,B-YX-II,0,0,0,0,0,0,0,0,0
R-21,SS,R-21,Single_String,URA,31-Oct-24,B-YXI-I,0,121034,0,0,0,0.12,0,0,744
R-17,SE,R-17,Single_String,URA,31-Oct-24,BMYXI-I,0,152239,6.03,0.01,0,0.15,6.03,0,690
R-16,SC,R-16,Single_String,URA,31-Oct-24,B-YX-II,0,212022,102.86,0.03,0,0.21,102.86,0.02,736
R-15,DB,R-15,Single_String,URA,31-Oct-24,B-YX-II,0,0,0,0,0,0,0,0,0
R-14,DA,R-14,Single_String,URA,31-Oct-24,B-YXIII,0,1008759,51.99,0.04,0,1,51.99,0.04,744
-13A,#NAME?,-13A,Single_String,URA,31-Oct-24,B-YXI-I,0,226975,25.47,0.04,0,0.22,25.47,0.03,729
R-12,SM,R-12,Single_String,URA,31-Oct-24,B-YX-II,0,0,0,0,0,0,0,0,0
R-11,SK,R-11,Single_String,URA,31-Oct-24,B-YXI-I,0,222397,74.85,0.04,0,0.22,74.85,0.03,714
R-34,FT,R-34,Single_String,URA,31-Oct-24,OBYXIII,0,0,0,0,0,0,0,0,0
R-32,DE,R-32,Single_String,URA,31-Oct-24,B-YX-II,0,0,0,0,0,0,0,0,0
R-29,DD,R-29,Single_String,URA,31-Oct-24,B-YX-II,0,3339,15.9,0.04,0,0,15.9,0.03,723.3
-16A,ub,-16A,Single_String,URA,31-Oct-24,B-YX-II,0,240812,12.88,0.02,0,0.24,12.88,0.02,737
BN-3,AD,BN-3,Single_String,BAN,31-Oct-24,KUYX-56,0,330735,47.98,2.68,0,0.33,47.98,2.17,744
BN-2,AC,BN-2,Single_String,BAN,31-Oct-24,KUYX-35,0,0,0,0,0,0,0,0,0
BN-8,AF,BN-8,Single_String,BAN,31-Oct-24,KUYX-60,0,0,0,0,0,0,0,0,0
N-14,DE,N-14,Single_String,BAN,31-Oct-24,KUYX-77,0,1568440,85.26,3.49,0,1.56,85.26,2.82,742.5
N-13,DD,N-13,Single_String,BAN,31-Oct-24,NEYXD-V,0,1691020,41.62,1.77,0,1.69,41.62,1.43,742.5
N-10,AH,N-10,Single_String,BAN,31-Oct-24,APYX55B,0,1379449,31.6,1.95,0,1.37,31.6,1.58,744
R-31,DI,R-31,Single_String,URA,31-Oct-24,NEYXAND,0,754494,74.47,0.66,0,0.75,74.47,0.53,744
R-23,MG,R-23,Single_String,URA,31-Oct-24,B-YXIII,0,326721,23.61,0.9,0,0.32,23.61,0.72,744
TD-6,DH,TD-6,Single_String,OME,31-Oct-24,APYX-55,0,1828932,65.73,5.77,0,1.82,65.73,4.68,744
D-27,DG,D-27,Single_String,OME,31-Oct-24,APYX-50,0,0,0,0,0,0,0,0,0
D-26,DE,D-26,Single_String,OME,31-Oct-24,APYX-40,0,0,0,0,0,0,0,0,0
D-25,DF,D-25,Single_String,OME,31-Oct-24,APYX10B,0,2352279,44.74,1.75,0,2.35,44.74,1.42,664.24
D-24,DB,D-24,Single_String,OME,31-Oct-24,APYX10B,0,0,0,0,0,0,0,0,0
D-22,DA,D-22,Single_String,OME,31-Oct-24,APYX-40,0,0,0,0,0,0,0,0,0
D-21,AG,D-21,Single_String,OME,31-Oct-24,APYX10B,0,1015445,20.47,0.08,0,1.01,20.47,0.06,744
TD-2,DA,TD-2,Single_String,OME,31-Oct-24,APYX-60,0,0,0,0,0,0,0,0,0
D-18,AD,D-18,Single_String,OME,31-Oct-24,APYX10B,0,1782753,124.8,1.11,0,1.78,124.8,0.9,744
D-12,DP,D-12,Single_String,OME,31-Oct-24,APYX10B,0,0,0,0,0,0,0,0,0
D-68,EK,D-68,Single_String,OME,31-Oct-24,APYX55B,0,433513,1.49,0,0,0.43,1.49,0,643
D-67,ED,D-67,Single_String,OME,31-Oct-24,APYX-53,0,1267949,60.19,2.29,0,1.26,60.19,1.86,744
D-63,EE,D-63,Single_String,OME,31-Oct-24,APYX-53,0,1547911,113.57,0.19,0,1.54,113.57,0.15,744
D-62,EF,D-62,Single_String,OME,31-Oct-24,APYX-53,0,0,0,0,0,0,0,0,0
D-61,GT,D-61,Single_String,OME,31-Oct-24,APYX-40,0,569057,11.69,0.77,0,0.56,11.69,0.62,744
D-58,EB,D-58,Single_String,OME,31-Oct-24,APYX55B,0,0,0,0,0,0,0,0,0
D-57,EA,D-57,Single_String,OME,31-Oct-24,APYX-53,0,2862400,67.06,4.52,0,2.86,67.06,3.66,737.75
